id,numero junta,provincia,canton,distrito,datos certificación,datos procesados tse
68,Junta 2821,ALAJUELA,GRECIA,PUENTE DE PIEDRA,Certificación no disponible,179 Votos PPSO 
69,Junta 2822,ALAJUELA,GRECIA,PUENTE DE PIEDRA,Certificación no disponible,169 Votos PPSO 
70,Junta 2827,ALAJUELA,GRECIA,PUENTE DE PIEDRA,Certificación no disponible,223 Votos PPSO 
71,Junta 2842,ALAJUELA,GRECIA,BOLIVAR,Certificación no disponible,206 Votos PPSO 
72,Junta 2844,ALAJUELA,GRECIA,BOLIVAR,Certificación no disponible,224 Votos PPSO 
73,Junta 2846,ALAJUELA,GRECIA,BOLIVAR,142 Votos PPSO,Resultados no Procesados
74,Junta 2856,ALAJUELA,SAN MATEO,JESUS BOLIBAR,Sin datos en la Certificación,Resultados no Procesados
75,Junta 2866,ALAJUELA,ATENAS,ATENAS,Certificación no disponible,190 Votos PPSO 
76,Junta 2870,ALAJUELA,ATENAS,ATENAS,179 Votos PPSO,Resultados no Procesados
77,Junta 2872,ALAJUELA,ATENAS,ATENAS,163 Votos PPSO,Resultados no Procesados
78,Junta 2919,ALAJUELA,NARANJO,NARANJO,189 Votos PPSO,159 Votos PPSO
79,Junta 2939,ALAJUELA,NARANJO,SAN MIGUEL,Certificación no disponible,207 Votos PPSO
80,Junta 2975,ALAJUELA,NARANJO,PALMITOS,Votos no Legibles,232 Votos PPSO
81,Junta 2998,ALAJUELA,PALMARES,ZARAGOZA,Certificación no disponible,218 Votos PPSO
82,Junta 3030,ALAJUELA,PALMARES,LA GRANJA,171 Votos PPSO,Resultados no Procesados
83,Junta 3035,ALAJUELA,PALMARES,LA GRANJA,Certificación no disponible,0 Votos PPSO
84,Junta 3036,ALAJUELA,POAS,SAN PEDRO,222 Votos PPSO,Resultados no Procesados
85,Junta 3043,ALAJUELA,POAS,SAN PEDRO,229 Votos PPSO,Resultados no Procesados
86,Junta 3044,ALAJUELA,POAS,SAN PEDRO,227 Votos PPSO,Resultados no Procesados
87,Junta 3046,ALAJUELA,POAS,SAN PEDRO,214 Votos PPSO,Resultados no Procesados
88,Junta 3048,ALAJUELA,POAS,SAN PEDRO,231 Votos PPSO,0 Votos PPSO (231 Votos PPSD)
89,Junta 3048,ALAJUELA,POAS,SAN JUAN,199 Votos PPSO,Resultados no Procesados
90,Junta 3058,ALAJUELA,POAS,SAN RAFAEL,206 Votos PPSO,Resultados no Procesados
91,Junta 3075,ALAJUELA,POAS,CARRILLOS,200 Votos PPSO,Resultados no Procesados
92,Junta 3078,ALAJUELA,POAS,CARRILLOS,196 Votos PPSO,Resultados no Procesados 0 Votos PPSO
93,Junta 3090,ALAJUELA,OROTINA,OROTINA,Certificación no disponible,198 Votos PPSO
94,Junta 3092,ALAJUELA,OROTINA,OROTINA,197 Votos PPSO,Resultados no Procesados
95,Junta 3096,ALAJUELA,OROTINA,OROTINA,179 Votos PPSO,Resultados no Procesados
96,Junta 3097,ALAJUELA,OROTINA,OROTINA,183 Votos PPSO,Resultados no Procesados
97,Junta 3106,ALAJUELA,OROTINA,COYOLAR,Certificación no disponible,183 Votos PPSO
98,Junta 3122,ALAJUELA,SAN CARLOS,QUESADA,0 Votos PPSO,0 Votos PPSO
99,Junta 3143,ALAJUELA,SAN CARLOS,QUESADA,244 Votos PPSO,Resultados no Procesados
100,Junta 3151,ALAJUELA,SAN CARLOS,QUESADA,Certificación no disponible,Resultados no Procesados
101,Junta 3153,ALAJUELA,SAN CARLOS,QUESADA,189 Votos PPSO,184 Votos PPSO
102,Junta 3158,ALAJUELA,SAN CARLOS,QUESADA,200 Votos PPSO,Resultados no Procesados 
103,Junta 3163,ALAJUELA,SAN CARLOS,QUESADA,Certificación no disponible,194 Votos PPSO
104,Junta 3172,ALAJUELA,SAN CARLOS,QUESADA,190 Votos PPSO,Resultados no Procesados 
105,Junta 3191,ALAJUELA,SAN CARLOS,FLORENCIA,Certificación no disponible,256 Votos PPSO
106,Junta 3222,ALAJUELA,SAN CARLOS,AGUAS ZARCAS,249 Votos PPSO,Resultados no Procesados 
107,Junta 3225,ALAJUELA,SAN CARLOS,AGUAS ZARCAS,263 Votos PPSO,Resultados no Procesados 
108,Junta 3227,ALAJUELA,SAN CARLOS,AGUAS ZARCAS,272 Votos PPSO,Resultados no Procesados
109,Junta 3229,ALAJUELA,SAN CARLOS,AGUAS ZARCAS,290 Votos PPSO,Resultados no Procesados
110,Junta 3230,ALAJUELA,SAN CARLOS,AGUAS ZARCAS,284 Votos PPSO,Resultados no Procesados
111,Junta 3240,ALAJUELA,SAN CARLOS,AGUAS ZARCAS,Votos no Legibles,Resultados no Procesados
112,Junta 3249,ALAJUELA,SAN CARLOS,VENECIA,Certificación no disponible,227 Votos PPSO
113,Junta 3255,ALAJUELA,SAN CARLOS,VENECIA,222 Votos PPSO,Resultados no Procesados 0 Votos PPSO
114,Junta 3264,ALAJUELA,SAN CARLOS,PITAL,250 Votos PPSO,Resultados no Procesados
115,Junta 3266,ALAJUELA,SAN CARLOS,PITAL,Certificación no disponible,279 Votos PPSO
116,Junta 3277,ALAJUELA,SAN CARLOS,PITAL,Certificación no disponible,217 Votos PPSO
117,Junta 3282,ALAJUELA,SAN CARLOS,LA FORTUNA,Certificación no disponible,278 Votos PPSO
118,Junta 3283,ALAJUELA,SAN CARLOS,LA FORTUNA,Certificación no disponible,289 Votos PPSO
119,Junta 3286,ALAJUELA,SAN CARLOS,LA FORTUNA,Certificación no disponible,267 Votos PPSO
120,Junta 3302,ALAJUELA,SAN CARLOS,LA FORTUNA,231 Votos PPSO,Resultados no Procesados
121,Junta 3303,ALAJUELA,SAN CARLOS,LA FORTUNA,215 Votos PPSO,Resultados no Procesados
122,Junta 3304,ALAJUELA,SAN CARLOS,LA FORTUNA,222 Votos PPSO,Resultados no Procesados
123,Junta 3330,ALAJUELA,SAN CARLOS,CUTRIS,195 Votos PPSO,11 Votos PPSO (195 Votos PPSD)
124,Junta 3332,ALAJUELA,SAN CARLOS,CUTRIS,201 Votos PPSO,Resultados no Procesados
125,Junta 3340,ALAJUELA,SAN CARLOS,CUTRIS,Certificación no disponible,134 Votos PPSO
126,Junta 3341,ALAJUELA,SAN CARLOS,CUTRIS,Certificación no disponible,134 Votos PPSO
127,Junta 3342,ALAJUELA,SAN CARLOS,CUTRIS,Certificación no disponible,63 Votos PPSO
128,Junta 3352,ALAJUELA,SAN CARLOS,MONTERREY,Certificación no disponible,44 Votos PPSO
129,Junta 3353,ALAJUELA,SAN CARLOS,POCOSOL,Certificación no disponible,218 Votos PPSO
130,Junta 3354,ALAJUELA,SAN CARLOS,POCOSOL,Certificación no disponible,203 Votos PPSO
131,Junta 3355,ALAJUELA,SAN CARLOS,POCOSOL,Certificación no disponible,283 Votos PPSO
132,Junta 3356,ALAJUELA,SAN CARLOS,POCOSOL,Certificación no disponible,249 Votos PPSO
133,Junta 3358,ALAJUELA,SAN CARLOS,POCOSOL,240 Votos PPSO,Resultados no Procesados
134,Junta 3360,ALAJUELA,SAN CARLOS,POCOSOL,Certificación no disponible,Resultados no Procesados
135,Junta 3363,ALAJUELA,SAN CARLOS,POCOSOL,241 Votos PPSO,Resultados no Procesados
136,Junta 3380,ALAJUELA,ZARCERO,ZARCERO,196 Votos PPSO,Resultados no Procesados
137,Junta 3417,ALAJUELA,SARCHI,SARCHI SUR,222 Votos PPSO,Resultados no Procesados
138,Junta 3419,ALAJUELA,SARCHI,SARCHI SUR,224 Votos PPSO,228 Votos PPSO
139,Junta 3493,ALAJUELA,UPALA,YOLILLAL,140 Votos PPSO,Resultados no Procesados
1,Junta 3595,CARTAGO,CENTRAL,ORIENTAL,123 Votos PPSO,Resultados no Procesados
2,Junta 3601,CARTAGO,CENTRAL,ORIENTAL,132 Votos PPSO,Resultados no Procesados
3,Junta 3604,CARTAGO,CENTRAL,ORIENTAL,133 Votos PPSO,Resultados no Procesados
3,Junta 3624,CARTAGO,CENTRAL,CARMEN,Certificación no disponible,37 Votos PPSO
4,Junta 3633,CARTAGO,CENTRAL,CARMEN,136 Votos PPSO,Resultados no Procesados
5,Junta 3647,CARTAGO,CENTRAL,SAN NICOLAS,142 Votos PPSO,Resultados no Procesados
6,Junta 3657,CARTAGO,CENTRAL,SAN NICOLAS,155 Votos PPSO,Resultados no Procesados
7,Junta 3665,CARTAGO,CENTRAL,SAN NICOLAS,135 Votos PPSO,0 Votos PPSO (135 Votos PPSD)
8,Junta 3684,CARTAGO,CENTRAL,SAN NICOLAS,161 Votos PPSO,Resultados no Procesados
9,Junta 3685,CARTAGO,CENTRAL,AGUA CALIENTE O SAN FRANCISCO,180 Votos PPSO,Resultados no Procesados
10,Junta 3686,CARTAGO,CENTRAL,AGUA CALIENTE O SAN FRANCISCO,Votos no Legibles,Resultados no Procesados
11,Junta 3687,CARTAGO,CENTRAL,AGUA CALIENTE O SAN FRANCISCO,174 Votos PPSO,Resultados no Procesados
12,Junta 3689,CARTAGO,CENTRAL,AGUA CALIENTE O SAN FRANCISCO,170 Votos PPSO,Resultados no Procesados
13,Junta 3701,CARTAGO,CENTRAL,AGUA CALIENTE O SAN FRANCISCO,183 Votos PPSO,Resultados no Procesados
14,Junta 3704,CARTAGO,CENTRAL,AGUA CALIENTE O SAN FRANCISCO,183 Votos PPSO,161 Votos PPSO
15,Junta 3707,CARTAGO,CENTRAL,AGUA CALIENTE O SAN FRANCISCO,169 Votos PPSO,Resultados no Procesados
16,Junta 3760,CARTAGO,CENTRAL,CORRALILLO,146 Votos PPSO,Resultados no Procesados
17,Junta 3766,CARTAGO,CENTRAL,CORRALILLO,Votos no Legibles,88 Votos PPSO
18,Junta 3797,CARTAGO,CENTRAL,DULCE NOMBRE,176 Votos PPSO,Resultados no Procesados
19,Junta 3801,CARTAGO,CENTRAL,LLANO GRANDE,66 O 6 Votos PPSO,6 Votos PPSO
20,Junta 3807,CARTAGO,CENTRAL,QUEBRADILLA,0 Votos PPSO,0 Votos PPSO
21,Junta 3819,CARTAGO,PARAISO,PARAISO,174 Votos PPSO,Resultados no Procesados
22,Junta 3821,CARTAGO,PARAISO,PARAISO,Certificación no disponible,149 Votos PPSO
23,Junta 3825,CARTAGO,PARAISO,PARAISO,Certificación no disponible,158 Votos PPSO
24,Junta 3828,CARTAGO,PARAISO,PARAISO,Certificación no disponible,140 Votos PPSO
25,Junta 3832,CARTAGO,PARAISO,PARAISO,165 Votos PPSO,Resultados no Procesados
26,Junta 3834,CARTAGO,PARAISO,PARAISO,Certificación no disponible,154 Votos PPSO
27,Junta 3835,CARTAGO,PARAISO,PARAISO,151 Votos PPSO,Resultados no Procesados
28,Junta 3845,CARTAGO,PARAISO,PARAISO,154 Votos PPSO,Resultados no Procesados
29,Junta 3869,CARTAGO,PARAISO,OROSI,105 Votos PPSO,104 Votos PPSO
30,Junta 3887,CARTAGO,PARAISO,LLANOS DE SANTA LUCIA,176 Votos PPSO,Resultados no Procesados
31,Junta 3892,CARTAGO,PARAISO,LLANOS DE SANTA LUCIA,Certificación no disponible,198 Votos PPSO
32,Junta 3895,CARTAGO,PARAISO,LLANOS DE SANTA LUCIA,187 Votos PPSO,Resultados no Procesados
33,Junta 3900,CARTAGO,PARAISO,LLANOS DE SANTA LUCIA,157 Votos PPSO,Resultados no Procesados
34,Junta 3903,CARTAGO,PARAISO,LLANOS DE SANTA LUCIA,177 Votos PPSO,Resultados no Procesados
35,Junta 3911,CARTAGO,PARAISO,BIRRISITO,Certificación no disponible,159 Votos PPSO
36,Junta 3912,CARTAGO,PARAISO,BIRRISITO,Certificación no disponible,149 Votos PPSO
37,Junta 3933,CARTAGO,LA UNION,SAN DIEGO,Certificación no disponible,Resultados no Procesados
38,Junta 3942,CARTAGO,LA UNION,SAN DIEGO,166 Votos PPSO,Resultados no Procesados
39,Junta 3944,CARTAGO,LA UNION,SAN DIEGO,199 Votos PPSO,Resultados no Procesados
40,Junta 3962,CARTAGO,LA UNION,SAN JUAN,Certificación no disponible,124 Votos PPSO
41,Junta 3981,CARTAGO,LA UNION,SAN RAFAEL,174 Votos PPSO,165 Votos PPSO
42,Junta 3998,CARTAGO,LA UNION,CONCEPCIÓN,Certificación no disponible,193 Votos PPSO
43,Junta 4007,CARTAGO,LA UNION,CONCEPCIÓN,Certificación no disponible,179 Votos PPSO
44,Junta 4011,CARTAGO,LA UNION,CONCEPCIÓN,Certificación no disponible,172 Votos PPSO
45,Junta 4031,CARTAGO,LA UNION,DULCE NOMBRE,183 Votos PPSO,181 Votos PPSO
46,Junta 4033,CARTAGO,LA UNION,SAN RAMON,153 Votos PPSO,Resultados no Procesados
47,Junta 4034,CARTAGO,LA UNION,SAN RAMON,118 Votos PPSO,Resultados no Procesados
48,Junta 4037,CARTAGO,LA UNION,SAN RAMON,Certificación no disponible,Resultados no Procesados
49,Junta 4039,CARTAGO,LA UNION,RIO AZUL,Certificación no disponible,171 Votos PPSO
50,Junta 4042,CARTAGO,LA UNION,RIO AZUL,Certificación no disponible,168 Votos PPSO
51,Junta 4071,CARTAGO,JIMENEZ,PEJIVALLE,Certificación no disponible,42 Votos PPSO
52,Junta 4110,CARTAGO,TURRIALBA,TURRIALBA,137 Votos PPSO,24 Votos PPSO (137 Votos PPSD)
53,Junta 4122,CARTAGO,TURRIALBA,LA SUIZA,158 Votos PPSO,Resultados no Procesados
54,Junta 4152,CARTAGO,TURRIALBA,SANTA TERESITA,103 Votos PPSO,Resultados no Procesados
55,Junta 4174,CARTAGO,TURRIALBA,TUIS,Votos no Legibles,Resultados no Procesados
56,Junta 4192,CARTAGO,TURRIALBA,TUIS,Certificación no disponible,135 Votos PPSO
57,Junta 4215,CARTAGO,TURRIALBA,CHIRRIPO,32 Votos PPSO,2 Votos PPSO
58,Junta 4222,CARTAGO,ALVARADO,PACAYAS,91 Votos PPSO,Resultados no Procesados
59,Junta 4227,CARTAGO,ALVARADO,CERVANTES,165 Votos PPSO,Resultados no Procesados
60,Junta 4229,CARTAGO,ALVARADO,CERVANTES,Certificación no disponible,177 Votos PPSO
61,Junta 4233,CARTAGO,ALVARADO,CERVANTES,Certificación no disponible,165 Votos PPSO
62,Junta 4234,CARTAGO,ALVARADO,CERVANTES,Certificación no disponible,190 Votos PPSO
63,Junta 4245,CARTAGO,OREAMUNO,SAN RAFAEL,121 Votos PPSO,21 Votos PPSO
64,Junta 4247,CARTAGO,OREAMUNO,SAN RAFAEL,129 Votos PPSO,1 Votos PPSO (129 Votos PUSC - Unidad Social Cristiana)
65,Junta 4254,CARTAGO,OREAMUNO,SAN RAFAEL,164 Votos PPSO,0 Votos PPSO (164 Votos PUSC - Unidad Social Cristiana)
66,Junta 4255,CARTAGO,OREAMUNO,SAN RAFAEL,166 Votos PPSO,1 Votos PPSO (166 Votos PUSC - Unidad Social Cristiana)
67,Junta 4261,CARTAGO,OREAMUNO,SAN RAFAEL,137 Votos PPSO,19 Votos PPSO (137 Votos PPSD)
68,Junta 4302,CARTAGO,OREAMUNO,CIPRESES,91 Votos PPSO,0 Votos PPSO (91 Votos PPSD)
69,Junta 4337,CARTAGO,EL GUARCO,TEJAR,186 Votos PPSO,16 Votos PPSO (186 Votos PPSD)
70,Junta 4350,CARTAGO,EL GUARCO,SAN ISIDRO,Certificación no disponible,199 Votos PPSO
71,Junta 4359,CARTAGO,EL GUARCO,SAN ISIDRO,Certificación no disponible,107 Votos PPSO
72,Junta 4363,CARTAGO,EL GUARCO,SAN ISIDRO,143 Votos PPSO,Resultados no Procesados
1,Junta 4386,HEREDIA,CENTRAL,HEREDIA,Certificación no disponible,151 Votos PPSO
2,Junta 4389,HEREDIA,CENTRAL,HEREDIA,Certificación no disponible,168 Votos PPSO
3,Junta 4400,HEREDIA,CENTRAL,HEREDIA,Certificación no disponible,164 Votos PPSO
4,Junta 4402,HEREDIA,CENTRAL,HEREDIA,Certificación no disponible,149 Votos PPSO
5,Junta 4403,HEREDIA,CENTRAL,HEREDIA,Certificación no disponible,177 Votos PPSO
6,Junta 4415,HEREDIA,CENTRAL,MERCEDES,151 Votos PPSO,Resultados no Procesados
7,Junta 4418,HEREDIA,CENTRAL,MERCEDES,Certificación no disponible,Resultados no Procesados
8,Junta 4425,HEREDIA,CENTRAL,MERCEDES,Votos no Legibles,Resultados no Procesados
9,Junta 4426,HEREDIA,CENTRAL,MERCEDES,145 Votos PPSO,Resultados no Procesados
10,Junta 4427,HEREDIA,CENTRAL,MERCEDES,168 Votos PPSO,Resultados no Procesados
11,Junta 4448,HEREDIA,CENTRAL,MERCEDES,Certificación no disponible,163 Votos PPSO
12,Junta 4451,HEREDIA,CENTRAL,SAN FRANCISCO,Certificación no disponible,178 Votos PPSO
13,Junta 4452,HEREDIA,CENTRAL,SAN FRANCISCO,Certificación no disponible,157 Votos PPSO
14,Junta 4476,HEREDIA,CENTRAL,SAN FRANCISCO,Sin datos en la Certificación,186 Votos PPSO
15,Junta 4485,HEREDIA,CENTRAL,SAN FRANCISCO,Certificación no disponible,Resultados no Procesados
16,Junta 4486,HEREDIA,CENTRAL,SAN FRANCISCO,Certificación no disponible,Resultados no Procesados
17,Junta 4498,HEREDIA,CENTRAL,SAN FRANCISCO,Certificación no disponible,189 Votos PPSO
18,Junta 4502,HEREDIA,CENTRAL,SAN FRANCISCO,Certificación no disponible,205 Votos PPSO
19,Junta 4506,HEREDIA,CENTRAL,SAN FRANCISCO,Certificación no disponible,195 Votos PPSO
20,Junta 4508,HEREDIA,CENTRAL,SAN FRANCISCO,Certificación no disponible,206 Votos PPSO
21,Junta 4515,HEREDIA,CENTRAL,SAN FRANCISCO,186 Votos PPSO,Resultados no Procesados
22,Junta 4521,HEREDIA,CENTRAL,ULLOA,Certificación no disponible,182 Votos PPSO
23,Junta 4526,HEREDIA,CENTRAL,ULLOA,Certificación no disponible,173 Votos PPSO
24,Junta 4536,HEREDIA,CENTRAL,ULLOA,Votos no Legibles,Resultados no Procesados
25,Junta 4554,HEREDIA,CENTRAL,ULLOA,0 Votos PPSO,0 Votos PPSO
26,Junta 4567,HEREDIA,BARVA,BARVA,185 Votos PPSO,Resultados no Procesados
27,Junta 4576,HEREDIA,BARVA,SAN PEDRO,229 Votos PPSO,212 Votos PPSO
28,Junta 4578,HEREDIA,BARVA,SAN PEDRO,212 Votos PPSO,211 Votos PPSO
29,Junta 4579,HEREDIA,BARVA,SAN PEDRO,Certificación no disponible,192 Votos PPSO
30,Junta 4583,HEREDIA,BARVA,SAN PABLO,Certificación no disponible,199 Votos PPSO
31,Junta 4598,HEREDIA,BARVA,SANTA LUCIA,Certificación no disponible,179 Votos PPSO
32,Junta 4604,HEREDIA,BARVA,SANTA LUCIA,Certificación no disponible,177 Votos PPSO
33,Junta 4613,HEREDIA,BARVA,SAN JOSE DE LA MONTAÑA,Certificación no disponible,202 Votos PPSO
34,Junta 4615,HEREDIA,BARVA,SAN JOSE DE LA MONTAÑA,31 Votos PPSO,Resultados no Procesados
35,Junta 4629,HEREDIA,SANTO DOMINGO,SANTO DOMINGO,Certificación no disponible,140 Votos PPSO
36,Junta 4631,HEREDIA,SANTO DOMINGO,SANTO DOMINGO,Certificación no disponible,139 Votos PPSO
37,Junta 4637,HEREDIA,SANTO DOMINGO,SAN VICENTE,Certificación no disponible,132 Votos PPSO
38,Junta 4639,HEREDIA,SANTO DOMINGO,SAN VICENTE,123 Votos PPSO,Resultados no Procesados
39,Junta 4640,HEREDIA,SANTO DOMINGO,SAN VICENTE,Certificación no disponible,130 Votos PPSO
40,Junta 4643,HEREDIA,SANTO DOMINGO,SAN VICENTE,Certificación no disponible,141 Votos PPSO
41,Junta 4644,HEREDIA,SANTO DOMINGO,SAN VICENTE,Certificación no disponible,139 Votos PPSO
42,Junta 4646,HEREDIA,SANTO DOMINGO,SAN MIGUEL,Certificación no disponible,205 Votos PPSO
43,Junta 4656,HEREDIA,SANTO DOMINGO,SAN MIGUEL,Certificación no disponible,173 Votos PPSO
44,Junta 4660,HEREDIA,SANTO DOMINGO,PARACITO,204 Votos PPSO,Resultados no Procesados
45,Junta 4663,HEREDIA,SANTO DOMINGO,SANTO TOMAS,Certificación no disponible,134 Votos PPSO
46,Junta 4675,HEREDIA,SANTO DOMINGO,SANTA ROSA,202 Votos PPSO,Resultados no Procesados
47,Junta 4676,HEREDIA,SANTO DOMINGO,SANTA ROSA,Certificación no disponible,164 Votos PPSO
48,Junta 4686,HEREDIA,SANTO DOMINGO,PARA,157 Votos PPSO,Resultados no Procesados
49,Junta 4695,HEREDIA,SANTA BARBARA,SANTA BARBARA,199 Votos PPSO,Resultados no Procesados
50,Junta 4702,HEREDIA,SANTA BARBARA,SANTA BARBARA,Certificación no disponible,200 Votos PPSO
51,Junta 4709,HEREDIA,SANTA BARBARA,SAN JUAN,Certificación no disponible,207 Votos PPSO
52,Junta 4722,HEREDIA,SANTA BARBARA,JESUS,197 Votos PPSO,Resultados no Procesados
53,Junta 4737,HEREDIA,SANTA BARBARA,PURABA,Certificación no disponible,160 Votos PPSO
54,Junta 4741,HEREDIA,SANTA BARBARA,PURABA,Certificación no disponible,141 Votos PPSO
55,Junta 4747,HEREDIA,SAN RAFAEL,SAN RAFAEL,Votos no Legibles,Resultados no Procesados
56,Junta 4752,HEREDIA,SAN RAFAEL,SAN RAFAEL,179 Votos PPSO,188 Votos PPSO
57,Junta 4775,HEREDIA,SAN RAFAEL,SAN JOSESITO,Certificación no disponible,158 Votos PPSO
58,Junta 4808,HEREDIA,SAN RAFAEL,LOS ANGELES,Certificación no disponible,126 Votos PPSO
59,Junta 4832,HEREDIA,SAN ISIDRO,SAN JOSE,0 Votos PPSO,0 Votos PPSO
60,Junta 4841,HEREDIA,SAN ISIDRO,SAN JOSE,2 Votos PPSO,1 Votos PPSO
61,Junta 4913,HEREDIA,FLORES,LLORENTE,193 Votos PPSO,Resultados no Procesados
62,Junta 4925,HEREDIA,SAN PABLO,SAN PABLO,152 Votos PPSO,Resultados no Procesados
63,Junta 4926,HEREDIA,SAN PABLO,SAN PABLO,188 Votos PPSO,Resultados no Procesados
64,Junta 4927,HEREDIA,SAN PABLO,SAN PABLO,Votos no Legibles,Resultados no Procesados
65,Junta 4930,HEREDIA,SAN PABLO,SAN PABLO,165 Votos PPSO,Resultados no Procesados
